web-scraper-order,web-scraper-start-url,title,page,page-href
"1554519663-2083","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Proposing the multi-motive information systems continuance model (MISC) to better explain end-user system evaluations and continuance intentions","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519653-2066","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Rejoinder to the Response to"" The Scholarly Capital Model""","",""
"1554519663-2085","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Helpfulness of Online Review Content: The Moderating Effects of Temporal and Social Cues","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519657-2079","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","The impact of functional affordances and symbolic expressions on the formation of beliefs","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519657-2078","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Use of online social networking services from a theoretical perspective of the motivation-participation-performance framework","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519663-2087","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","A theory of organization-EHR affordance actualization","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519663-2089","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","The role of business intelligence and communication technologies in organizational agility: a configurational approach","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519653-2063","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Information systems control: A review and framework for emerging information systems processes","",""
"1554519657-2076","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Fostering fast-response spontaneous virtual team: Effects of member skill awareness and shared governance on team cohesion and outcomes","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519657-2080","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Information technology, cross-channel capabilities, and managerial actions: Evidence from the apparel industry","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
