web-scraper-order,web-scraper-start-url,title,pagination,pagination-href
"1554519721-2123","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","How fast are enterprise resource planning (ERP) systems moving to the cloud","",""
"1554519737-2161","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Managing knowledge and managing knowledge work: what we know and what the future holds","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=40&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519748-2187","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Tough choices for an agile open source international development project: the Libre LAS Case","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=70&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519745-2185","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","AN EMPIRICAL STUDY OF THE RELATIONSHIP BETWEEN ITGC, COMPLIANCE, AND IT-RELATED RISK IN CHINA","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=60&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519741-2176","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Cloud computing benefit framework","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=50&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519721-2124","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","IT leadership and ERP: a challenging day for a new leader","",""
"1554519737-2157","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","An RFID-based manufacture process control and supply chain management in the semiconductor industry","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=40&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519741-2167","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","The Effect of ERP System on Organizational Performance: A Comparative Study.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=50&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519741-2172","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Netsourcing strategies for vendors: A resource-based and transaction cost economics perspective","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=50&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519741-2169","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Evaluation Framework For Core Banking Modules Based On Business Intelligence Criteria","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=50&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
