web-scraper-order,web-scraper-start-url,title,page,page-href
"1554519787-2231","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Management+Information+Systems%22&btnG=","Service-oriented methodology for systems development","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Management+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519787-2237","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Management+Information+Systems%22&btnG=","Network structure and observational learning: Evidence from a location-based social network","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Management+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519787-2238","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Management+Information+Systems%22&btnG=","The role of dynamic capabilities in responding to digital disruption: A factor-based study of the newspaper industry","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Management+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519791-2243","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Management+Information+Systems%22&btnG=","Winning back technology disadopters: testing a technology readoption model in the context of mobile internet services","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Management+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519783-2221","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Management+Information+Systems%22&btnG=","Employees' exploration of complex systems: An integrative view","",""
"1554519787-2234","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Management+Information+Systems%22&btnG=","Risk mitigation in supply chain digitization: System modularity and information technology governance","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Management+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519791-2244","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Management+Information+Systems%22&btnG=","Cheap talk? The impact of lender-borrower communication on peer-to-peer lending outcomes","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Management+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519787-2236","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Management+Information+Systems%22&btnG=","Service expansion of product firms in the information technology industry: An empirical study","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Management+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519783-2224","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Management+Information+Systems%22&btnG=","Horizontal allocation of decision rights for on-premise applications and software-as-a-service","",""
"1554519787-2240","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Management+Information+Systems%22&btnG=","Comprehension and assessment of product reviews: A review-product congruity proposition","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Management+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519791-2245","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Management+Information+Systems%22&btnG=","Firm Strategy and the Internet in American Commercial Banking","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Management+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519783-2225","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Management+Information+Systems%22&btnG=","Impediments to information systems replacement: a calculus of discontinuance","",""
"1554519783-2229","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Management+Information+Systems%22&btnG=","Understanding the Dynamics of Service-Oriented Architecture Implementation","",""
"1554519791-2246","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Management+Information+Systems%22&btnG=","Firm Strategy and the Internet in US Commercial Banking.(2013)","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Management+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519783-2222","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Management+Information+Systems%22&btnG=","A multilevel approach to examine employees' loyal use of ERP systems in organizations","",""
"1554519787-2235","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Management+Information+Systems%22&btnG=","How posture-profile misalignment in IT innovation diminishes returns: conceptual development and empirical demonstration","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Management+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519787-2239","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Management+Information+Systems%22&btnG=","Reflective technology assimilation: facilitating electronic health record assimilation in small physician practices","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Management+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
