web-scraper-order,web-scraper-start-url,title,pagination,pagination-href
"1554519858-2250","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Digital innovation as a fundamental and powerful concept in the information systems curriculum.","",""
"1554519870-2280","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","When Does Repository KMS Use Lift Performance? The Role of Alternative Knowledge Sources and Task Environments.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=30&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519858-2249","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","How Do Enterprise Resource Planning Systems Affect Firm Risk? Post-Implementation Impact.","",""
"1554519873-2297","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Through the Eyes of Others: How Onlookers Shape the Use of Technology at Work.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=40&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519866-2272","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","INVESTING IN INFORMATION SYSTEMS: ON THE BEHAVIORAL AND INSTITUTIONAL SEARCH MECHANISMS UNDERPINNING HOSPITALS'IS INVESTMENT …","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519877-2303","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","The Effects of Communication Media and Culture on Deception Detection Accuracy","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=50&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519873-2296","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Venture Capital's Role in the Formation of a New Technological Ecosystem: Evidence from the Cloud","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=40&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519858-2251","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Critical realism in information systems research","",""
"1554519862-2267","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Causal explanation in the coordinating process: A critical realist case study of federated IT governance structures","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519866-2273","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","COLLECTIVE INFORMATION SYSTEMS USE: A TYPOLOGICAL THEORY.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
